"author_id,""created_at"",""id"",""lang"",""retweet_count"",""text"""
"2235596608,""2022-08-08T01:08:03Z"",""1556447110769303553"",""pt"",""16"",""@Olivio_Dutra e @TarsoGenro n∆o venderam patrimìnio p£blico n∆o aumentaram impostos e fizeram pesados investimentos nos setores produtivos Dessa forma o PIB RS subiu acima da mÇdia PIB nacional naquele per°odo #DebatenaBandRS #LulaOlivioPrettoRuas"""
"118507192,""2022-08-08T01:08:01Z"",""1556447103261593600"",""pt"",""0"",""Lula Ç o braáo auxiliar da reeleiá∆o Bolsocorro fica claro que na polaridade essa o pt vai perder Onyx ganhou petista ventr°loquo o que Ç patetico Amostra que se dara debate nacional  #DebateNaBandRS"""
"1220903256840450050,""2022-08-08T01:08:00Z"",""1556447097423110144"",""pt"",""0"",""Olha ter quer ouvir o Onyx Ç muita tortura esse cara Ç muito nojento\n\n#DebateNaBandRS"""
"1216916857858461698,""2022-08-08T01:07:58Z"",""1556447090708029440"",""pt"",""0"",""#DebateNaBandRS @EdegarPretto desmascarando o usei caixa dois e peáo desculpas"""""""
"342047515,""2022-08-08T01:07:57Z"",""1556447085225857025"",""pt"",""104"",""RT @fernandapsol Onix caixa dois confesso n∆o pode falar de corrupá∆o""""  #DebateNaBandRS"""
"25846246,""2022-08-08T01:07:55Z"",""1556447079161118720"",""pt"",""0"",""Por mim o GC com o nome e partido candidato poderia ficar durante TODA fala dele\n\nPrincipalmente nesse primeiro debate que o povo ainda n∆o decorou caras e nomes\n\n#DebateNaBand #DebateNaBandRS @ozirismg"""
"1068641519224147969,""2022-08-08T01:07:55Z"",""1556447079131643905"",""pt"",""0"",""O debate Ç pra presidente ou governador hein Onyx \n#DebateNaBandRS"""
"84330177,""2022-08-08T01:07:55Z"",""1556447078934519809"",""pt"",""0"",""Daqui pouco salta um belo catarro nos microfones #debatenabandrs com tosse de um dos candidatos  """
"1030633475160920064,""2022-08-08T01:07:55Z"",""1556447078049628160"",""pt"",""8"",""RT @JulianaBrizola N∆o tem explicaá∆o o que fizeram com Instituto de Educaá∆o @vieirapdt est† certo Ç o s°mbolo descaso desse governo?"""
"82143155,""2022-08-08T01:07:53Z"",""1556447071644819457"",""pt"",""32"",""Onyx caixa 2 confesso n∆o pode falar de corrupá∆o""""\n\n@EdegarPretto veio reto Onyx\n\n#DebateNaBandRS #LulaOlivioEdegarRuas"""
"1168174519548284928,""2022-08-08T01:07:53Z"",""1556447067823800322"",""pt"",""201"",""RT @onyxlorenzoni Hoje Ö noite \nAcompanhem """
"201083977,""2022-08-08T01:07:51Z"",""1556447061490409473"",""pt"",""1"",""RT @PompeodeMattos Leite trabalhou em prol da evas∆o escolar negou aos nossos jovens aquilo que Ç seu por direito \nSeguiu linha neolib?"""
"984872050518118400,""2022-08-08T01:07:51Z"",""1556447060202819585"",""pt"",""0"",""@EduardoLeite_ Graáas ao governo federal Faltou isso a°"""
"731185520575950848,""2022-08-08T01:07:50Z"",""1556447055622672386"",""pt"",""88"",""RT @EdegarPretto Eu quero dizer aos ga£chos e ga£chas que se eu governador vou anular todos os atos de privatizaá∆o da nossa Corsan?"""
"1517496625534541829,""2022-08-08T01:07:49Z"",""1556447051076014080"",""pt"",""31"",""RT @LeonelRadde @EdegarPretto demolindo o Onyx Caixa 2 corrupto confesso e propagador de fake news #LulaOlivioPrettoRuas  #DebateNaBand"""
